Category,Subcategory,Question,Answer
📊 Analytics & Methodology,Baseline,What is 'Baseline vs Post-Baseline' in the report?,Baseline shows your starting point before intervention; Post-Baseline shows the period after actions. The comparison demonstrates improvement over time.
📊 Analytics & Methodology,Baseline,What is the baseline period?,The baseline is your reference period before starting any waste-reduction actions. It defines your 'normal' waste pattern and allows for future comparisons.
📊 Analytics & Methodology,Baseline,What is the baseline?,The baseline is simply your starting point — the first measurement of food waste before changes are made. It’s what you’ll compare against later to see how effective your reduction efforts are.
📊 Analytics & Methodology,Data Consistency,How can I improve my data consistency?,"Record data daily, ensure covers are entered correctly, and avoid leaving shifts incomplete. Regular habits lead to consistent, trustworthy data."
📊 Analytics & Methodology,Data Consistency,What is data consistency?,"Data consistency refers to the reliability of recorded waste data. Accurate, complete, and regular entries are essential to generate valid insights and support effective decision‑making."
📊 Analytics & Methodology,Metrics & Definitions,What does a low food waste per cover mean?,"A lower food waste per cover means you waste less food per guest served - indicating efficient portioning, menu planning, and staff awareness."
📊 Analytics & Methodology,Metrics & Definitions,"What is food waste per cover (g/cover), and why do we use it?","Food waste per cover (g/cover) measures the amount of waste generated per guest. It is a key KPI because it normalizes for volume, allowing kitchens of different sizes to compare efficiency"
📊 Analytics & Methodology,Metrics & Definitions,What is food waste per cover?,"Food waste per cover is calculated as total food waste (kg) divided by total covers (guests). It represents the amount of waste per guest — the lower the number, the better."
📦 General Information,Benefits & Features,How does FIT help in reducing food waste?,"FIT helps you see where and why waste happens. With those insights, you can adjust portions, improve inventory, and optimize preparation. Continuous monitoring keeps track of progress and points the way to further improvements."
📦 General Information,Benefits & Features,How does FIT help with staff engagement?,"FIT empowers staff to see the impact of their actions, making food waste reduction a collective effort rather than just another task."
📦 General Information,Getting Started,How does FIT work?,All you have to do is punch in the food waste and cover data via the app. FIT takes care of the rest — calculating KPIs like food waste per cover and turning them into easy‑to‑read dashboards that help kitchens cut waste.
📦 General Information,Getting Started,What equipment is needed to get started?,"You’ll need a digital scale compatible with FIT software (recommended), along with a tablet or smartphone to log waste data, and an internet connection to sync with the cloud. We provide full installation support."
📦 General Information,Introduction,What does FIT stand for?,FIT (Food Intel Tech) is a data‑driven food waste monitoring and reduction system designed specifically for professional kitchens.
📦 General Information,Introduction,What is FIT?,"FIT (Food Intel Tech) is a smart food waste monitoring system developed by LightBlue Consulting. It helps hotels and restaurants measure, analyze, and reduce food waste by collecting data through smart scales and visual dashboards."
📦 General Information,Introduction,Who are you?,"I’m Pumpui, your FIT Assistant created by LightBlue. I can help you with food waste tracking, food waste per cover, covers, shift settings, and guidance on using the FIT app."
📦 General Information,Introduction,Who created FIT?,FIT was designed by LightBlue Consulting to help professional kitchens measure and take action on food waste reduction.
📦 General Information,Introduction,Who uses FIT?,"FIT is suitable for commercial kitchens and is trusted by international hotel groups such as Accor, Hyatt, Marriott, and Constance, as well as restaurants and event venues worldwide."
📦 General Information,Miscellaneous,How can I check what data is missing?,"Go to ‘On demand’, select your preferred period and kitchen. Any missing records will be highlighted in yellow."
📦 General Information,Miscellaneous,How can I log waste in FIT?,"You can log food waste through the FIT mobile or web app by selecting the waste category, reason, and weight from the connected smart scale, or by manually entering data from your digital scale. Each entry contributes to tracking food waste trends over time."
📦 General Information,Miscellaneous,How do I enter covers?,"Go to ‘Add covers’, select the kitchen and shift, then enter the number of guests. FIT uses this cover data to calculate food waste per cover."
📦 General Information,Miscellaneous,How do I switch between kitchens?,Use the dropdown menu at the top of the dashboard to select a different kitchen or site.
📦 General Information,Miscellaneous,How does FIT integrate with our current kitchen operations?,"FIT fits right into your kitchen workflow without disruption. We’ll train your staff to log waste accurately, customize the system to your needs, and keep supporting you with check‑ins, refresher sessions, and an online help desk."
📦 General Information,Miscellaneous,How secure is the data collected by the FIT system?,FIT keeps your data safe with encryption and strict access controls. Our security is always monitored and updated to stay at the highest level.
📦 General Information,Miscellaneous,How to categorize plate waste?,"All plate waste will be categorized as ""mixed"" for simplicity and consistency."
📦 General Information,Miscellaneous,How to reduce plate waste?,"Our Hacks section offers a repository of practical solutions, including techniques for reducing plate waste."
📦 General Information,Miscellaneous,What can you do?,"I can explain how to use the FIT system, answer questions about food waste data, and guide you through reporting or troubleshooting common issues."
📦 General Information,Miscellaneous,What is LightBlue?,"LightBlue Consulting is a sustainability consulting firm based in Bangkok, Thailand. We specialize in food waste prevention, training, and technology solutions such as FIT, trusted by major hotel brands worldwide. We provide services both domestically and internationally."
📦 General Information,Miscellaneous,What is a complete set?,"A complete set means both the mandatory food waste category and the number of covers are entered. This allows FIT to calculate food waste per cover. The more complete sets recorded, the higher the percentage of data consistency. For the production kitchen, all mandatory food waste categories must be filled during the shift."
📦 General Information,Miscellaneous,What kind of reports does FIT generate?,"FIT provides a Dashboard to show overall impact and reduction. For more detailed insights, the Analytics section displays food waste per cover and food waste in kilograms by location, shift, and category, along with reduction progress over time, including baseline vs. post‑baseline performance. In addition, FIT users receive a weekly report to monitor impact and reduction."
📦 General Information,Miscellaneous,What should I do if my kitchen is closed?,"In FIT, the Shift setting (mobile) or Add closed shifts (web) function is used to mark when your kitchen is not operating during a particular shift and day. This ensures the report will not appear as missing."
📦 General Information,Miscellaneous,What should I do if the app shows missing data?,"When the system displays missing data, verify that covers and waste logs have been entered for the shift. If the entries are complete but the warning remains, please contact fit@lightblueconsulting.com for support so we can resolve the issue quickly."
📦 General Information,Miscellaneous,What time zone does FIT use?,"Each site operates in its own configured local time zone, set during onboarding or FIT registration form since very beginning."
📦 General Information,Miscellaneous,When do I enter covers?,"Enter the total number of covers at the end of each shift, once service is completed and the actual guests served are known."
📦 General Information,Miscellaneous,Where can I learn more about LightBlue?,"You can visit www.lightblue.solutions to learn more about our solutions.

"
📦 General Information,Miscellaneous,Why do I need to add covers?,"Our main KPI is food waste per cover. Tracking only the average amount of food waste is not sufficient — this metric enables fair comparison across different days, sites, and service volumes. That’s why we require the number of covers."
📦 General Information,Miscellaneous,"Why does FIT categorize by shift, category, and type?","By breaking waste down by shift, category (prep, spoilage, plate), and type (like vegetables or meat), you can see more clearly when, where, and why it happens — making it easier to focus on the right fixes"
📦 General Information,Miscellaneous,Why is kg/day not always correlated with g/cover?,"Kg/day captures overall waste volume, whereas g/cover accounts for meals served, enabling fair benchmarking. When covers decline, kg/day may decrease while g/cover remains stable or rises. Together, these metrics provide complementary insights into both scale and efficiency"
📦 General Information,Miscellaneous,Why is my data marked as missing?,"If covers or one of the waste categories is missing, FIT flags the set as incomplete. Please review and fill in the missing information to make it complete."
📦 General Information,Miscellaneous,what can you do?,"Hey there! I’m Pumpui, your FIT Assistant.
I’m here to support you with questions about FIT, from daily usage to reducing food waste in your kitchen."
📱 Mobile App,Data Entry,How do I add covers data?,"Select a kitchen, pick a date, and enter covers for each meal type (e.g., Breakfast, Lunch, Dinner). Press 'Send' to save."
📱 Mobile App,Data Entry,How do I add food waste data?,"Select a kitchen, choose meal type and category, select waste type, enter kilograms, then press 'Send' to save."
📱 Mobile App,Data Entry,How do I enter backdated data?,"Enter data normally, then go to the 'History' tab and use 'edit' to change the entry date."
📱 Mobile App,General App Info,Can the application be used with any type of tablet?,"Yes, it's fully optimized for both Android and iOS devices."
📱 Mobile App,Navigation & History,How do I switch between different kitchens?,Tap the kitchen selector at the top of the screen and choose the desired kitchen from the list.
📱 Mobile App,Navigation & History,How do I view past entries?,Open the 'History' tab to view past waste and cover entries; you can edit or delete entries there.
📱 Mobile App,Offline Usage,Can I use FIT offline?,Yes. It's available with FIT mobile app. You can record entries offline and they'll sync automatically once you're back online.
📱 Mobile App,Offline Usage,What is the 'Waiting List' feature?,"If offline, entries are stored in the Waiting List. When Wi-Fi is available, press upload in the Waiting List to sync."
📱 Mobile App,Settings,How do I change the language?,Tap the flag icon at the top right and select your preferred language.
📱 Mobile App,Settings,How do I change the shift settings?,"Open the menu (three lines) > 'Shift setting', toggle meal types open/close for the day, and press 'Save'."
